,Time,Commoners,Elites,Wealth,Nature
1781,1781.0,5423.0,0.0,1373.0219793096155,98.70115015729202
1782,1782.0,5423.0,0.0,1373.0219793096155,98.70115015729202
1783,1783.0,5531.0,0.0,1383.1078055503249,98.6462580769112
1784,1784.0,5531.0,0.0,1383.1078055503249,98.6462580769112
1785,1785.0,5642.0,0.0,1392.4578194024518,98.58864867395393
1786,1786.0,5642.0,0.0,1392.4578194024518,98.58864867395393
1787,1787.0,5755.0,0.0,1401.0175503280125,98.5285570165212
1788,1788.0,5755.0,0.0,1401.0175503280125,98.5285570165212
1789,1789.0,5870.0,0.0,1408.7314185180298,98.4659665892799
1790,1790.0,5870.0,0.0,1408.7314185180298,98.4659665892799
1791,1791.0,5987.0,0.0,1415.543209534893,98.40080773776748
1792,1792.0,5987.0,0.0,1415.543209534893,98.40080773776748
1793,1793.0,6107.0,0.0,1421.396087527807,98.332548186061
1794,1794.0,6107.0,0.0,1421.396087527807,98.332548186061
1795,1795.0,6229.0,0.0,1426.2336532648983,98.26142999248816
1796,1796.0,6229.0,0.0,1426.2336532648983,98.26142999248816
1797,1797.0,6354.0,0.0,1430.00009833402,98.18696927048212
1798,1798.0,6354.0,0.0,1430.00009833402,98.18696927048212
1799,1799.0,6481.0,0.0,1432.640705874029,98.10942619916504
1800,1800.0,6481.0,0.0,1432.640705874029,98.10942619916504
1801,1801.0,6611.0,0.0,1434.1029818852105,98.02830256658984
1802,1802.0,6611.0,0.0,1434.1029818852105,98.02830256658984
1803,1803.0,6743.0,0.0,1434.3374139734951,97.94386308302388
1804,1804.0,6743.0,0.0,1434.3374139734951,97.94386308302388
1805,1805.0,6878.0,0.0,1433.2983968209878,97.85559183000136
1806,1806.0,6878.0,0.0,1433.2983968209878,97.85559183000136
1807,1807.0,7016.0,0.0,1430.9450438386652,97.76324846674572
1808,1808.0,7016.0,0.0,1430.9450438386652,97.76324846674572
1809,1809.0,7156.0,0.0,1427.2422863895115,97.66717275667726
1810,1810.0,7156.0,0.0,1427.2422863895115,97.66717275667726
1811,1811.0,7299.0,0.0,1422.1618485144877,97.56683818075436
1812,1812.0,7299.0,0.0,1422.1618485144877,97.56683818075436
1813,1813.0,7445.0,0.0,1415.683349555615,97.46198641686138
1814,1814.0,7445.0,0.0,1415.683349555615,97.46198641686138
1815,1815.0,7594.0,0.0,1407.7952910595166,97.3524231747921
1816,1816.0,7594.0,0.0,1407.7952910595166,97.3524231747921
1817,1817.0,7746.0,0.0,1398.4955424669824,97.23796666805318
1818,1818.0,7746.0,0.0,1398.4955424669824,97.23796666805318
1819,1819.0,7901.0,0.0,1387.7920114438884,97.1184343117875
1820,1820.0,7901.0,0.0,1387.7920114438884,97.1184343117875
1821,1821.0,8059.0,0.0,1375.7026403433283,96.99363916026591
1822,1822.0,8059.0,0.0,1375.7026403433283,96.99363916026591
1823,1823.0,8220.0,0.0,1362.2559749698396,96.86338886781128
1824,1824.0,8220.0,0.0,1362.2559749698396,96.86338886781128
1825,1825.0,8384.0,0.0,1347.4902087287564,96.72748531354304
1826,1826.0,8384.0,0.0,1347.4902087287564,96.72748531354304
1827,1827.0,8552.0,0.0,1331.452164796006,96.5851218365932
1828,1828.0,8552.0,0.0,1331.452164796006,96.5851218365932
1829,1829.0,8723.0,0.0,1314.1968173639088,96.43647983191714
